month,symbol,token_volume,raw_transfer_count,transfer_count,genius_excluded_transfer_count,genius_qualifying_transfer_volume,genius_dust_filter_applied,active_addresses,newly_adopted_addresses,average_transfer_size,volume_per_active_address,transfers_per_active_address
2025-03-01,A7A5,608399.999979,11,11,0,608399.999979,False,6,6.0,55309.09090718182,101399.99999649999,1.8333333333333333
2025-04-01,A7A5,1501397701.510742,19728,19728,0,1501397701.510742,False,10053,10047.0,76104.91187706518,149348.2245609014,1.962399283795882
2025-05-01,A7A5,476940060.510966,1616,1616,0,476940060.510966,False,42,32.0,295136.1760587661,11355715.726451572,38.476190476190474
2025-06-01,A7A5,42654142.632153,1499,1499,0,42654142.632153,False,100,85.0,28455.065131523013,426541.42632152996,14.99
2025-07-01,A7A5,9694700.966245,1100,1100,0,9694700.966245,False,152,106.0,8813.364514768182,63780.92740950658,7.2368421052631575
2025-08-01,A7A5,595196337.326708,2478,2478,0,595196337.326708,False,442,391.0,240192.22652409523,1346598.0482504705,5.606334841628959
2025-09-01,A7A5,141424351.906478,2478,2478,0,141424351.906478,False,703,597.0,57071.97413497901,201172.62006611377,3.5248933143669987
2025-10-01,A7A5,348396263.422852,5351,5351,0,348396263.422852,False,1200,1004.0,65108.62706463315,290330.21951904334,4.4591666666666665
2025-11-01,A7A5,174227739.10263,5561,5561,0,174227739.10263,False,1560,1253.0,31330.28935490559,111684.44814271154,3.56474358974359
2025-12-01,A7A5,466890056.48005694,6473,6473,0,466890056.48005694,False,1062,741.0,72128.85161131731,439632.8215443097,6.095103578154426
2026-01-01,A7A5,206682941.313214,3047,3047,0,206682941.313214,False,789,454.0,67831.61841588907,261955.56566947277,3.861850443599493
2026-02-01,A7A5,161427340.573436,4602,4602,0,161427340.573436,False,1126,810.0,35077.648972932635,143363.5351451474,4.087033747779751
2026-03-01,A7A5,281269459.781217,5345,5345,0,281269459.781217,False,1336,871.0,52622.91109096669,210531.032770372,4.000748502994012
2026-04-01,A7A5,259730539.923841,7362,7362,0,259730539.923841,False,1175,810.0,35279.8886068787,221047.2680202902,6.265531914893617
2026-05-01,A7A5,572735357.712219,22327,22327,0,572735357.712219,False,1519,1027.0,25652.141251051147,377047.6350969184,14.698485845951284
2026-06-01,A7A5,473477999.733078,10362,10362,0,473477999.733078,False,1108,672.0,45693.68845136827,427326.7145605397,9.351985559566787
2023-06-01,BRZ,2376000.0,5,5,0,2376000.0,False,4,4.0,475200.0,594000.0,1.25
2023-07-01,BRZ,12405185.79874042,123,123,0,12405185.79874042,False,67,64.0,100855.16909545058,185152.02684687194,1.835820895522388
2023-08-01,BRZ,38571360.42874436,167,167,0,38571360.42874436,False,55,28.0,230966.23011224167,701297.4623408066,3.036363636363636
2023-09-01,BRZ,25586384.397629064,108,108,0,25586384.397629064,False,40,14.0,236910.96664471354,639659.6099407265,2.7
2023-10-01,BRZ,45973942.197349645,139,139,0,45973942.197349645,False,60,35.0,330747.7855924435,766232.3699558274,2.316666666666667
2023-11-01,BRZ,66174897.95521862,94,94,0,66174897.95521862,False,30,13.0,703988.2761193471,2205829.9318406205,3.1333333333333333
2023-12-01,BRZ,73800835.02403928,109,109,0,73800835.02403928,False,21,8.0,677071.8809544889,3514325.477335204,5.190476190476191
2024-01-01,BRZ,111846971.47626482,172,172,0,111846971.47626482,False,37,21.0,650273.0899782839,3022891.12098013,4.648648648648648
2024-02-01,BRZ,88852758.06832173,256,256,0,88852758.06832173,False,41,21.0,347081.0862043818,2167140.440690774,6.2439024390243905
2024-03-01,BRZ,22412753.22242734,100,100,0,22412753.22242734,False,35,13.0,224127.5322242734,640364.3777836382,2.857142857142857
2024-04-01,BRZ,6026211.34668346,138,138,0,6026211.34668346,False,28,13.0,43668.1981643729,215221.8338101236,4.928571428571429
