symbol,funded_by_address,newly_funded_addresses,funded_volume,rank
USDT,0x85b931a32a0725be14285b66f1a22178c672d69b,109993,534780628.338556,72
USDT,0x00009d17b7b809e38f30892cff11650763b80000,106199,174.31198,73
USDT,0xdd3d72c53ff982ff59853da71158bf1538b3ceee,101948,217097283.015573,74
USDT,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,99981,331074900.937985,75
USDT,0x0cb3e3f55d20b306d6303bfa0ff122fdf15e77e7,97984,137.106199,76
USDT,0x0b5c4a7fcda49e0a8661419bb55b86161a86db2a,91295,27617870.91,77
USDT,0x1440ec793ae50fa046b95bfeca5af475b6003f9e,90993,27447639.25,78
USDT,0x7cfdeb2def0fa6810eda0ac17c2a4e2f9e12db4f,90848,1517.88579,79
USDT,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,89805,97253450.168432,80
USDT,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,88532,57474222.724955,81
USDT,0x935d2e470284fb536227a76a723f96a94efae6a9,87367,40794420.502899,82
USDT,0x68841a1806ff291314946eebd0cda8b348e73d6d,85920,274292046.402599,83
USDT,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,85030,322295797.618729,84
USDT,0x2819c144d5946404c0516b6f817a960db37d4929,84834,69683738.656527,85
USDT,0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,84515,464138072.255678,86
USDT,0xb685760ebd368a891f27ae547391f4e2a289895b,83941,493577117.597443,87
USDT,0x9cd8a5b91ee80fdee6c0e2832d75a56555b9f37f,82957,820.624553,88
USDT,0x3d55ccb2a943d88d39dd2e62daf767c69fd0179f,81681,256786984.92312,89
USDT,0x09d4ba0aa5e07026261d6d648551b94834d1c62e,80828,493.37802999999997,90
USDT,0xa3222357a0eccf60c73606170be6c99adecb59b3,80338,473825555.802505,91
USDT,0x065ac3d33fec104fba9f2f4d674afaa7c4ebcf43,78716,60703314.397319,92
USDT,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,76662,353324857.628717,93
USDT,0xb02f1329d6a6acef07a763258f8509c2847a0a3e,76508,162051626.923181,94
USDT,0xc3e537626476fba585ad3112d94f567b8904df98,76154,192.96412999999998,95
USDT,0x48c04ed5691981c42154c6167398f95e8f38a7ff,73829,219651851.625703,96
USDT,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,73188,361580944.15279996,97
USDT,0x9acbb72cf67103a30333a32cd203459c6a9c3311,72652,102632125.838135,98
USDT,0xde44c986fc890713b009f749ffbd1ab3875dc026,71966,30.383162,99
USDT,0x84445c163af876c55c840d5a4b86bef39ef520fe,71751,1013.178483,100
USDC,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1755238,125493776564.63585,1
USDC,0x5afe0000727040681d781fb23e8c82b468076042,1051989,371.71056,2
USDC,0x46340b20830761efd32832a74d7169b29feb9758,573960,1193917850.8895571,3
USDC,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,508078,4640906597.977442,4
USDC,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,506649,453203029.643804,5
USDC,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,439509,6445960624.269562,6
USDC,0x503828976d22510aad0201ac7ec88293211d23da,437400,5356694859.558206,7
USDC,0x74de5d4fcbf63e00296fd95d33236b9794016631,379541,1136829352.988354,8
USDC,0x16be6ba639bd784c19a315be557089ec78ffb34a,325405,114.03620000000001,9
USDC,0x1ae0e997216f7a354eda202b5cb3352b9dafadff,324972,200.607436,10
USDC,0xc727eb69ccf89d5911042f21be25a193d67e2c23,313308,104.986243,11
USDC,0x28c6c06298d514db089934071355e5743bf21d60,303466,4683472050.107115,12
USDC,0x21a31ee1afc51d94c2efccaa2092ad1028285549,264550,3569788678.69366,13
USDC,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,262073,3842151564.164673,14
USDC,0x55fe002aeff02f77364de339a1292923a15844b8,234874,3767440135.6,15
USDC,0x301d9bc22d66f7bc49329a9d9eb16d3ecc4a12b4,215858,1055.77,16
USDC,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,207451,4510407500.669051,17
USDC,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,199399,1156936501.918315,18
USDC,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,195959,2041260991.2663538,19
USDC,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,193920,1946841061.376124,20
USDC,0xdc4858741e738bb304fc5b290e7b9453da6a5baa,164602,158.6782,21
USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,151549,905445541.261989,22
USDC,0xb23360ccdd9ed1b15d45e5d3824bb409c8d7c460,138291,76699696.791822,23
USDC,0x455bf23ea7575a537b6374953fa71b5f3653272c,120393,513.023603,24
USDC,0xf70da97812cb96acdf810712aa562db8dfa3dbef,117769,152651593.685717,25
USDC,0x2393d38400cad1d0ffae85b37d76de05bb7eddc6,117358,572.164719,26
USDC,0xf89d7b9c864f589bbf53a82105107622b35eaa40,106082,660302912.38278,27
USDC,0x5c985e89dde482efe97ea9f1950ad149eb73829b,105738,365946223.99805,28
USDC,0x1a6182dc00b4282158934c99403d2b308d15d459,101083,626.861158,29
USDC,0xf0a5bcf29906884dbd96dc41c5f5680a666f4db7,100312,51.542714000000004,30
USDC,0xf715336bbfff0bbf922a5d10220ef86d55e8345f,97626,179.196454,31
USDC,0xad6752e44b90f0dde02e80ee9d1624adb3c90008,93614,0.93465,32
USDC,0x1111111254eeb25477b68fb85ed929f73a960582,91690,509745518.74221,33
USDC,0xd8258baf814e7d59fa7daf291a45a86ad038b847,90322,2001.074146,34
USDC,0x05ff6964d21e5dae3b1010d5ae0465b3c450f381,89834,374795517.188159,35
USDC,0x2347faed8d309da2fda2a4339224999209c31bfc,87039,38.110112,36
USDC,0xd152f549545093347a162dce210e7293f1452150,86192,102467151.181203,37
USDC,0x5041ed759dd4afc3a72b8192c143f72f4724081a,85784,670239855.876652,38
USDC,0x974caa59e49682cda0ad2bbe82983419a2ecc400,82028,168004450.969487,39
USDC,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,75703,558818387.322962,40
USDC,0x3fda25f27211a138adf211f4c060f2149674be6d,75418,879663396.529199,41
USDC,0x14bb6108489bcdd5dadac4769086aaa273210cbe,74334,1578.6848909999999,42
USDC,0x3e0e8a7e3221e78edab8cd9bfe9960d2b76c3e4a,71816,175.71523,43
USDC,0x7fc1ff4d7ef948e39d982541c7027cc9cc943492,71282,449.148874,44
USDC,0x41cc011e768b2859f2aba42551762a2a17b26fed,71082,239.78770099999997,45
USDC,0x7d9f4ca54131e588fc1fe577973b55fb11231e76,70418,247.85711600000002,46
USDC,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,70308,209451420.885315,47
USDC,0x9642b23ed1e01df1092b92641051881a322f5d4e,70176,196744708.005211,48
USDC,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,68514,256224469.433375,49
USDC,0x6081258689a75d253d87ce902a8de3887239fe80,67874,48276167.725292,50
USDC,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,66891,399568299.435881,51
USDC,0x00009d17b7b809e38f30892cff11650763b80000,66430,109.050585,52
USDC,0x7eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2,62703,365165018.753072,53
