asset,USDT,USDC,DAI,FRAX,PYUSD,USDS,USDE,USD1,RLUSD,EURC,BRZ,A7A5,ETH,WBTC
USDT,100,55,40,4,13,17,14,14,15,13,3,1,26,26
USDC,55,100,43,9,13,22,22,22,20,19,4,6,24,29
DAI,40,43,100,11,11,16,14,12,11,11,2,4,18,32
FRAX,4,9,11,100,10,11,15,10,12,13,2,5,1,22
PYUSD,13,13,11,10,100,16,24,17,17,16,3,4,5,18
USDS,17,22,16,11,16,100,35,37,38,29,5,7,8,23
USDE,14,22,14,15,24,35,100,33,34,29,4,6,8,27
USD1,14,22,12,10,17,37,33,100,42,28,5,7,8,21
RLUSD,15,20,11,12,17,38,34,42,100,37,6,7,8,21
EURC,13,19,11,13,16,29,29,28,37,100,5,8,5,22
BRZ,3,4,2,2,3,5,4,5,6,5,100,2,3,3
A7A5,1,6,4,5,4,7,6,7,7,8,2,100,0,5
ETH,26,24,18,1,5,8,8,8,8,5,3,0,100,14
WBTC,26,29,32,22,18,23,27,21,21,22,3,5,14,100
