symbol,funded_by_address,newly_funded_addresses,funded_volume,rank
USDT,0xa180fe01b906a1be37be6c534a3300785b20d947,7130872,4359865049.317359,1
USDT,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,6629141,3898589170.983499,2
USDT,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,6032964,4099018937.19174,3
USDT,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,5810294,3604103482.5552845,4
USDT,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,4784109,2298873369.220419,5
USDT,0x515b72ed8a97f42c568d6a143232775018f133c8,4602783,2117885229.2675672,6
USDT,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,4587812,2195101331.0926356,7
USDT,0x5afe0cfe5034ee1379d46acdab55f9d26f8d8425,3151300,102.93118700886723,8
USDT,0xf89d7b9c864f589bbf53a82105107622b35eaa40,3003076,1479927192.3971,9
USDT,0xb8269b7e72904d51b3bd7066857771c4779ef1b9,1918661,624.5468367610318,10
USDT,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,1684531,1147202477.9101791,11
USDT,0x21298fffb0ccbd25e9f418caec7ecc2e8aeea099,1612457,7284.063833340093,12
USDT,0xde6e2fa9e8dda7eb498692e48064532bc54671ec,1510924,1136.7044997000016,13
USDT,0x30a294ce69b922d3d7e4751678f87c48e5396f4f,1470012,147.0012,14
USDT,0xf32b7c76a0e6c9929c68d69aa0acddd67b2ec0d1,1460029,612.6104926414694,15
USDT,0x8d5f7156eb384902b71ae991c563bb9ee47e0d68,1370112,404.740366,16
USDT,0x9496a20eb12c6c7500468d6efcc2457043f9f7dc,1349219,106.91976,17
USDT,0xba07271cdad915a04944866fe81a5a5824467548,1343444,421938913.92659503,18
USDT,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,1223302,747336853.4911553,19
USDT,0x0d0707963952f2fba59dd06f2b425ace40b492fe,1218611,1459765672.8004591,20
USDT,0xc66540a3528f0b5ece54576ee0ca52e73947a514,1193516,59.032995,21
USDT,0x9bb6a22da110c6c9bab745bcaf0ee142ee83af37,1167500,527617994.5519972,22
USDT,0xecc3657b8dbacd5afff96d07eeac3d2208b71813,1154437,63.50322524167364,23
USDT,0xfa500178de024bf43cfa69b7e636a28ab68f2741,1082780,217350009.08575737,24
USDT,0x1093880d58e747e602646f9ead0783b1c94f4f25,1051807,92.050374,25
USDT,0x3b5b12f6c6aef155d04d5e286e07cecad8366003,1041286,154.77528506655,26
USDT,0xef3aeff9a5f61c6dda33069c58c1434006e13b20,987600,632727949.1064,27
USDT,0xae853029faefaf639667c0426d71c7c545282acf,953738,195.29540000000003,28
USDT,0xc590175e458b83680867afd273527ff58f74c02b,867117,261701888.13839886,29
USDT,0x1f5eb15444a88081955ec756cb2e99d66eefb02f,841340,24.524577,30
USDT,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,832019,697739295.4101906,31
USDT,0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,780082,462796615.32736504,32
USDT,0x7354abb551e41bbd9fb32e2e79f44631349119b8,773360,328762192.39758563,33
USDT,0x9aa83081aa06af7208dcc7a4cb72c94d057d2cda,768071,631418198.312466,34
USDT,0x172fcd41e0913e95784454622d1c3724f546f849,745995,385644493.67217064,35
USDT,0xd152f549545093347a162dce210e7293f1452150,699700,58709796.384962015,36
USDT,0x0639556f03714a74a5feeaf5736a4a64ff70d206,672366,348484288.16093975,37
USDT,0x32e3e876aa0c1732ed9efcf9d8615de7afaef59f,646814,165170891.27927348,38
USDT,0x065ac3d33fec104fba9f2f4d674afaa7c4ebcf43,635973,198521756.51230222,39
USDT,0xbcf6011192399df75a96b0a4ce47c4820853e9e5,578240,286915617.3926781,40
USDT,0xb300000b72deaeb607a12d5f54773d1c19c7028d,551683,135417762.87714067,41
USDT,0xf23b819a3cc63b7b9e031af87386060b131a6128,536191,2894745.1001040004,42
USDT,0x864a7fa57e0f8902a2de4892e925f1272edbe3fa,530357,270559226.5635943,43
USDT,0x1084203d70950bd7a93aef75eb32a51df2422a07,520121,273591953.0982299,44
USDT,0xe0f0aa98b4a4d305ac4a04d830c96a158bda9cd8,517347,202243653.1271,45
USDT,0x827bbc2ae714686ba35ea2adea387bfcb863acb7,493137,95.06883824713417,46
USDT,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,479243,249053124.9301676,47
USDT,0xa71180a5bfbc0dbd18f7b355e4afa101a319ff6a,396409,161756257.12967795,48
USDT,0x29e943ff0e16427bd6548834dc299f0aa7eaf2f1,356039,11183446.31014212,49
USDT,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,337312,813172556.6680344,50
USDT,0x59362651601cbd381f94570b75b5e26885cdce5b,322992,312480.48,51
USDT,0x98ae655e5bb418eef21b7c5800d4638aede60e1d,321065,84188929.98090315,52
USDT,0x74623b0854a76f714c6683826663b941c6ff5612,317948,7.669600254000001,53
USDT,0xaba3002ab1597433ba79abc48eead54dc10a45f2,315376,59741254.384730786,54
USDT,0xaaec5cb06ab6f553f6280e6f9aaa57884cd0a5a5,305793,189128982.64757678,55
USDT,0xf70faf6755af428b5ebc61d9382fa088cb6f020a,298660,4213.368415922872,56
USDT,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,295966,258100276.4618865,57
USDT,0x8665a78ccc84d6df2acaa4b207d88c6bc9b70ec5,282742,25164704.140720267,58
USDT,0x6cfadd6abc272165e31c7517cdcf34805f782b15,276204,47.84909953,59
USDT,0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e,275582,607957021.6956669,60
USDT,0x7efaef62fddcca950418312c6c91aef321375a00,273397,351825918.4229597,61
USDT,0x47962ea56a061d52cfbbe03a66a29efcfd5769e7,271481,2.71481,62
USDT,0xa23ef2319ba4c933ebfdba80c332664a6cb13f1a,262537,50508259.07645023,63
USDT,0xb0b1177e8b32bfb9744c50f1350c6a614cc1aa77,249007,161865658.9134048,64
USDT,0xbf957e1c121fa769580d29bf320ee8bff138ad12,245334,147483615.15521684,65
USDT,0x9653628b7ac01e375e085b02b9998d86d08f9bd9,244593,603.1875774130203,66
