month,symbol,token_volume,raw_transfer_count,transfer_count,genius_excluded_transfer_count,genius_qualifying_transfer_volume,genius_dust_filter_applied,active_addresses,newly_adopted_addresses,average_transfer_size,volume_per_active_address,transfers_per_active_address
2020-09-01,DAI,36514221.76621741,2293,2236.0,57.0,36514221.695312485,True,504,504,16330.152815434922,72448.85271074883,4.436507936507937
2020-10-01,DAI,154888385.44447297,16575,15952.0,623.0,154888384.6533434,True,1859,1732,9709.652999833463,83318.12019605862,8.580957504034426
2020-11-01,DAI,49218131.85255116,15598,15361.0,237.0,49218131.5981344,True,1361,936,3204.0968425320225,36163.2122355262,11.286554004408524
2020-12-01,DAI,102643299.13685304,19423,19247.0,176.0,102643298.90485024,True,2159,1741,5332.950532802527,47542.056107852266,8.914775358962483
2021-01-01,DAI,265495289.45010233,44129,43770.0,359.0,265495288.92350528,True,4617,3916,6065.690859572887,57503.8530322942,9.480181936322287
2021-02-01,DAI,2341949913.670629,259599,257910.0,1689.0,2341949910.8508773,True,16715,15076,9080.492849640872,140110.67386602628,15.429853425067305
2021-03-01,DAI,35377967322.49384,348997,344988.0,4009.0,35377967317.26285,True,25832,20342,102548.39970451972,1369540.3887617623,13.355063487147724
2021-04-01,DAI,122837121050.19466,666803,645851.0,20952.0,122837121024.69705,True,31210,23825,190194.21046758007,3935825.730541322,20.693719961550784
2021-05-01,DAI,5062016671.257016,1332900,1307042.0,25858.0,5062016644.388595,True,44100,33366,3872.879864907627,114784.95853190513,29.63814058956916
2021-06-01,DAI,2251244876.045522,418120,404518.0,13602.0,2251244863.081457,True,39454,27054,5565.252629256194,57059.990775219805,10.252902113854109
2021-07-01,DAI,766118122.6531107,257798,241722.0,16076.0,766118080.9193064,True,27512,16203,3169.4180956607443,27846.689541040665,8.786056993312009
2021-08-01,DAI,921111990.2916929,354909,326333.0,28576.0,921111879.1501426,True,35140,22931,2822.6133402081387,26212.634897316246,9.286653386454184
2021-09-01,DAI,1098947832.5043132,264969,256580.0,8389.0,1098947807.9703093,True,34668,19756,4283.061064659401,31699.199045353445,7.401061497634706
2021-10-01,DAI,1045774637.4925662,278828,271355.0,7473.0,1045774623.0953677,True,41309,27018,3853.898483887777,25315.903011270333,6.568907501997144
2021-11-01,DAI,4403901504.192887,521285,514290.0,6995.0,4403901492.212103,True,60138,41839,8563.07043149216,73229.9295652148,8.551830789184875
2021-12-01,DAI,6061442599.48592,371254,366117.0,5137.0,6061442591.161019,True,50806,29038,16556.026054952432,119305.64499244026,7.206176435854033
2022-01-01,DAI,1927323331.1079223,253650,249052.0,4598.0,1927323324.9657545,True,36747,19478,7738.638215978007,52448.453781476645,6.777478433613628
2022-02-01,DAI,964605976.3019582,158796,155004.0,3792.0,964605969.7292281,True,27053,14373,6223.103724608579,35656.15555768152,5.729641814216538
2022-03-01,DAI,1618752798.1693652,176544,173988.0,2556.0,1618752793.9424522,True,33940,20912,9303.818619344163,47694.54325778919,5.126340601060695
2022-04-01,DAI,1257332606.8996685,146640,143630.0,3010.0,1257332603.8382096,True,34727,20157,8753.969253207615,36206.19710598867,4.135974889855156
2022-05-01,DAI,1594032671.3132296,191531,188565.0,2966.0,1594032668.2530875,True,41764,19060,8453.491730984475,38167.62454059069,4.515012929795996
2022-06-01,DAI,700825093.2180046,102950,101719.0,1231.0,700825091.2281885,True,25041,10155,6889.814992559783,27987.10487672236,4.062098159019208
2022-07-01,DAI,156866286.40702263,86645,85429.0,1216.0,156866284.29729602,True,20469,10338,1836.2181963653563,7663.602833896264,4.173579559333627
2022-08-01,DAI,188647133.88402203,81009,75886.0,5123.0,188647129.72407237,True,18420,9128,2485.927967267643,10241.429635397504,4.119761129207383
2022-09-01,DAI,414797150.1329902,96804,93850.0,2954.0,414797146.645435,True,27388,10593,4419.788456531007,15145.215062545281,3.4266832189279977
2022-10-01,DAI,183204539.66782615,72522,70772.0,1750.0,183204536.90664324,True,19893,12361,2588.658465306099,9209.497796603135,3.5576333383602274
2022-11-01,DAI,667497692.9245802,98414,96008.0,2406.0,667497688.0487165,True,24740,15245,6952.521540379099,26980.504968657246,3.880679062247373
2022-12-01,DAI,339021274.80489653,61294,55062.0,6232.0,339021272.18133336,True,16147,8352,6157.082419478649,20995.929572359975,3.410045209636465
2023-01-01,DAI,327414558.7487488,64935,53858.0,11077.0,327414555.3240662,True,14849,7670,6079.218599355086,22049.603256027258,3.6270455922957776
2023-02-01,DAI,475231758.7400875,75446,65991.0,9455.0,475231755.92408556,True,15102,7370,7201.463168069669,31468.13393855698,4.36968613428685
2023-03-01,DAI,581073108.9426937,112352,100567.0,11785.0,581073105.5364095,True,19103,9745,5777.969965658809,30417.898180531523,5.2644610794116105
2023-04-01,DAI,148480451.68795782,50963,47063.0,3900.0,148480447.48149294,True,10943,5188,3154.9295089878024,13568.532549388452,4.300740199214109
2023-05-01,DAI,143267375.36650896,59730,48999.0,10731.0,143267362.04950306,True,16529,11465,2923.883386385499,8667.637205306368,2.9644261600822794
2023-06-01,DAI,168257948.40945405,61810,54566.0,7244.0,168257938.00410125,True,15938,9777,3083.5673863596608,10557.030267878908,3.423641611243569
2023-07-01,DAI,78363749.86547641,55956,50541.0,5415.0,78363743.33795598,True,14257,9780,1550.4984732782489,5496.510476641398,3.5449954408360806
2023-08-01,DAI,47922221.599175006,51924,48160.0,3764.0,47922215.39755067,True,11906,7316,995.0626120753877,4025.0480093377296,4.045019317990929
2023-09-01,DAI,38687412.80397642,40449,37477.0,2972.0,38687408.000713505,True,10617,6329,1032.2973557305415,3643.9119152280696,3.5299048695488366
2023-10-01,DAI,41672192.38601807,46841,43065.0,3776.0,41672188.858272165,True,10970,6714,967.657932387604,3798.7413296279005,3.9257064721969006
2023-11-01,DAI,59398954.13476348,76532,71662.0,4870.0,59398947.754940614,True,12150,7153,828.876500166624,4888.802809445554,5.898106995884774
2023-12-01,DAI,78943600.92568465,107297,99424.0,7873.0,78943585.59945485,True,16134,9941,794.0093498496826,4892.996214558364,6.162389983884964
2024-01-01,DAI,100419459.88228852,183795,163829.0,19966.0,100419431.20443699,True,31714,25334,612.9527202414529,3166.40789185497,5.165825818250615
2024-02-01,DAI,113562521.78647453,133310,116398.0,16912.0,113562509.28796495,True,24517,16412,975.6396955958431,4631.990936349249,4.747644491577273
2024-03-01,DAI,175851311.0788367,178369,159641.0,18728.0,175851296.1492974,True,40038,22970,1101.542186213425,4392.110272212316,3.987237124731505
2024-04-01,DAI,119788128.32589035,203852,180851.0,23001.0,119788093.77431019,True,23083,15423,662.3579287607488,5189.452338339485,7.834813499111901
2024-05-01,DAI,83896289.78000198,168613,134629.0,33984.0,83896246.8741609,True,14560,8008,623.1662336804173,5762.107814560576,9.246497252747252
2024-06-01,DAI,75611715.02644804,138036,104815.0,33221.0,75611648.46041043,True,11261,5503,721.3819440004811,6714.476070193415,9.307787940680225
2024-07-01,DAI,61776161.93316079,169026,118017.0,51009.0,61776028.76727727,True,11832,5204,523.450255194398,5221.109020720148,9.974391480730223
2024-08-01,DAI,70232333.3690835,133050,106810.0,26240.0,70232262.17133008,True,10501,5072,657.5438832630847,6688.156686894914,10.171412246452718
2024-09-01,DAI,58765947.15516511,125928,108236.0,17692.0,58765888.05046671,True,9249,4765,542.9421638869388,6353.7622613434005,11.702454319385879
2024-10-01,DAI,68002313.16701913,145911,115631.0,30280.0,68002240.81853445,True,9169,4942,588.0969706958726,7416.546315521772,12.611080815792343
2024-11-01,DAI,117223270.23419276,173599,142802.0,30797.0,117223222.71357846,True,11946,5988,820.8794184505712,9812.763287643793,11.953959484346225
2024-12-01,DAI,126287862.54670338,141646,131627.0,10019.0,126287839.74328412,True,11762,6319,959.4371955851316,10736.937812166585,11.190868899846965
2025-01-01,DAI,68874945.96644168,110343,102218.0,8125.0,68874925.42798477,True,9923,5089,673.8042754503588,6940.939833361048,10.301118613322584
2025-02-01,DAI,52479241.06435954,104956,98722.0,6234.0,52479225.93011066,True,7804,3866,531.5859274539683,6724.659285540689,12.650179395181958
2025-03-01,DAI,69044395.0331758,106870,102118.0,4752.0,69044381.79646306,True,7183,3380,676.1235217734685,9612.194770037004,14.216622581094251
2025-04-01,DAI,37725794.44656519,98331,93236.0,5095.0,37725777.69154612,True,6649,3651,404.62672885522886,5673.905015275258,14.022559783426079
2025-05-01,DAI,48936337.03179424,127959,106134.0,21825.0,48936300.63907502,True,8302,4821,461.08033843136997,5894.523853504486,12.784148397976391
2025-06-01,DAI,38935142.23992342,95873,78222.0,17651.0,38935120.79731327,True,10337,5365,497.751537896158,3766.5804624091534,7.567185837283545
2025-07-01,DAI,63203097.22882149,136794,118147.0,18647.0,63203063.49632566,True,12903,8984,534.9527579737586,4898.325755934395,9.156552739672945
2025-08-01,DAI,209073311.12253293,154339,136928.0,17411.0,209073290.1676654,True,18563,11350,1526.8848604205523,11262.905302081179,7.376393901847762
2025-09-01,DAI,120477367.80427969,187163,169424.0,17739.0,120477353.16622452,True,18208,12088,711.0996857955456,6616.727142150686,9.304920913884008
2025-10-01,DAI,119861666.8603552,225500,202749.0,22751.0,119861651.50076848,True,22013,14426,591.1824546644791,5445.040060889256,9.210421114795803
2025-11-01,DAI,67304536.51458281,188471,157468.0,31003.0,67304518.34933284,True,18478,10658,427.4171155366985,3642.4145748773035,8.521917956488798
2025-12-01,DAI,56782198.73584778,164991,125991.0,39000.0,56782177.06974132,True,18696,11552,450.68439070839446,3037.1308694826585,6.73892811296534
2026-01-01,DAI,79533258.82909153,146821,114567.0,32254.0,79533216.02902672,True,18148,11264,694.2070232180882,4382.480649608306,6.312927044302403
2026-02-01,DAI,48685678.05446122,178458,144677.0,33781.0,48685638.97043558,True,18994,12087,336.51263829382407,2563.2135439855333,7.616984310835001
2026-03-01,DAI,79456626.69706355,257985,113851.0,144134.0,79456606.5457666,True,13181,8451,697.8999441881635,6028.118253323993,8.637508535012518
2026-04-01,DAI,59243178.29784927,203965,117639.0,86326.0,59243113.88412038,True,42659,7424,503.6009646811039,1388.7615344440626,2.7576595794556833
2026-05-01,DAI,39100148.96181585,126777,104690.0,22087.0,39100126.93971837,True,11613,7147,373.48483083120044,3366.929213968471,9.014897098079738
2026-06-01,DAI,23031203.6101722,144128,120716.0,23412.0,23031181.080446526,True,14799,9857,190.78813976976147,1556.2675593061829,8.157037637678222
2025-03-01,USD1,197971892.81525,62,61.0,1.0,197971892.81515002,True,18,18,3245440.8658221317,10998438.489736112,3.388888888888889
2025-04-01,USD1,7241091003.097232,115973,115757.0,216.0,7241091002.148725,True,2774,2770,62554.23863912096,2610342.8273602133,41.72927180966114
2025-05-01,USD1,10686174472.275394,4660196,4514430.0,145766.0,10686174110.503368,True,74557,74010,2367.1148097330934,143328.92246570266,60.55004895583245
2025-06-01,USD1,43365338814.63061,25041097,23558077.0,1483020.0,43365337472.30051,True,2610027,2585137,1840.784265723408,16614.90046448968,9.025989769454492
2025-07-01,USD1,32578757187.86572,25749381,24407294.0,1342087.0,32578756077.524685,True,1586284,1315877,1334.7959047621046,20537.783390531404,15.386459171245502
2025-08-01,USD1,16712553061.487883,13827256,13152853.0,674403.0,16712552549.029444,True,784203,729941,1270.640867728807,21311.513806358664,16.772255398155835
2025-09-01,USD1,14113507046.641,8819996,8239577.0,580419.0,14113506674.09483,True,568781,449460,1712.8921392560358,24813.604966834337,14.486378764410203
2025-10-01,USD1,12677726226.159307,13417241,12933220.0,484021.0,12677725732.654572,True,515205,440477,980.2451154974996,24607.14904971673,25.10305606506148
2025-11-01,USD1,8712257700.416758,12820272,12543354.0,276918.0,8712257298.900015,True,260689,184195,694.5715873840453,33420.12014475777,48.116161403051144
2025-12-01,USD1,8338848713.745301,10346985,10070274.0,276711.0,8338848017.691818,True,158634,137654,828.0656531978989,52566.5917378702,63.48118310072242
2026-01-01,USD1,15848262945.72386,30640176,29088561.0,1551615.0,15848260117.132374,True,435611,402666,544.8279176523162,36381.686747405045,66.77646110864968
2026-02-01,USD1,7443485918.355412,17244111,16594135.0,649976.0,7443484246.955215,True,132749,107272,448.56114807763197,56071.87939913228,125.00384183685
2026-03-01,USD1,5995762297.167533,13808224,12738082.0,1070142.0,5995759843.216215,True,110086,84174,470.69565443339235,54464.34875613187,115.71028105299493
2026-04-01,USD1,5644329697.595144,9548410,9145570.0,402840.0,5644328096.516761,True,89358,34420,617.1652610517181,63165.35394251376,102.34752344501891
2026-05-01,USD1,8087646338.066853,9388740,9051180.0,337560.0,8087645493.7759495,True,68345,38745,893.545978952573,118335.59643085599,132.43368205428342
2026-06-01,USD1,12062787493.362576,6781580,6540356.0,241224.0,12062787027.744278,True,85569,52757,1844.3624517907401,140971.46739312806,76.4337084691886
2020-10-01,USDC,65148967.18229536,3882,3864.0,18.0,65148967.1600312,True,548,548,16860.498747420083,118884.97661002802,7.0510948905109485
2020-11-01,USDC,182237757.41673583,13322,13017.0,305.0,182237757.29139808,True,1596,1398,13999.981354490134,114184.05853178937,8.156015037593985
2020-12-01,USDC,426263579.72782975,23890,23612.0,278.0,426263579.43024963,True,2977,2384,18052.836669077147,143185.61630091694,7.931474638898219
2021-01-01,USDC,392164806.4721873,47691,47419.0,272.0,392164806.0264368,True,5774,4813,8270.204053785124,67919.08667685959,8.21250432975407
2021-02-01,USDC,82998679217.9128,280537,279664.0,873.0,82998679216.93176,True,20272,18504,296779.99033458636,4094252.1319017755,13.795580110497237
2021-03-01,USDC,195404386015.7303,457182,454103.0,3079.0,195404386012.26395,True,43783,35978,430308.51153210603,4463019.574166464,10.371673937372954
2021-04-01,USDC,340979126693.76373,881924,873001.0,8923.0,340979126685.7061,True,88437,71711,390582.74467693176,3855616.1639784677,9.871445209584223
2021-05-01,USDC,24979166938.91132,867611,859380.0,8231.0,24979166925.33576,True,111112,84317,29066.4978534941,224810.70396457016,7.734358125134999
2021-06-01,USDC,12125512864.300707,1123306,1113292.0,10014.0,12125512847.693668,True,120349,83140,10891.58356270742,100752.9174675378,9.250529709428413
2021-07-01,USDC,8034190741.966848,1055789,1040522.0,15267.0,8034190712.871862,True,161490,116165,7721.307875154838,49750.391615374625,6.443259644560035
2021-08-01,USDC,9408615456.169224,1129818,1097147.0,32671.0,9408615365.716259,True,125490,75527,8575.528498657208,74975.02156481969,8.742903817037215
2021-09-01,USDC,9381050655.444391,1449169,1414070.0,35099.0,9381050578.159563,True,188213,119220,6634.0779297768595,49842.73485595783,7.513136712129342
2021-10-01,USDC,8826445469.764153,1491494,1453932.0,37562.0,8826445393.61337,True,185679,121768,6070.741543355102,47536.04591668499,7.830352382337259
2021-11-01,USDC,9570931523.532677,1758453,1720280.0,38173.0,9570931453.721502,True,200539,125268,5563.589330644722,47726.035950776044,8.578281531273218
2021-12-01,USDC,9727780841.86032,1562958,1543404.0,19554.0,9727780807.486513,True,201882,120372,6302.809120286402,48185.478853292116,7.645079799090558
2022-01-01,USDC,10654993563.942654,1467133,1448891.0,18242.0,10654993530.629345,True,206192,124808,7353.895862856036,51675.10652179839,7.026902110654148
2022-02-01,USDC,10836426902.893816,976706,959843.0,16863.0,10836426879.391693,True,140744,70667,11289.791017272297,76993.88182014023,6.819779173534928
2022-03-01,USDC,16801979865.635586,1254013,1241992.0,12021.0,16801979843.933558,True,161914,86116,13528.251264044822,103771.01341227803,7.670689378311943
2022-04-01,USDC,13503702348.960571,1451313,1438139.0,13174.0,13503702328.465633,True,171730,90567,9389.705952251927,78633.33342433222,8.374419146334363
2022-05-01,USDC,21149993060.64332,3141335,3121077.0,20258.0,21149993021.246227,True,295019,192689,6776.504719763795,71690.27439128775,10.579240659076195
2022-06-01,USDC,15068554182.175337,2979467,2965154.0,14313.0,15068554151.765862,True,305357,143748,5081.879103670792,49347.33502809936,9.710450390853984
