symbol,address,outgoing_volume,rank
USDT,0x717d61b3d383dba1594bd58fc58ee58587d629ce,12887325558.552624,66
USDT,0x13f12f5d8b269197be17f0ad4f0a5b27463c7839,12649170000.003191,67
USDT,0xbe60d4c4250438344bec816ec2dec99925deb4c7,12043689367.824188,68
USDT,0xd5f05644ef5d0a36ca8c8b5177ffbd09ec63f92f,11893835969.457531,69
USDT,0xbce729580490534fdaa5a4306c49c019418e2823,11877462176.981873,70
USDT,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,11177954862.724098,71
USDT,0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4,10818585798.607765,72
USDT,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,10763000000.150652,73
USDT,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,10719845450.410625,74
USDT,0x561fd68a190962c600850a5ebd7c7926b839fe97,10692130192.050953,75
USDT,0x4a9165bc0dda279117cf99a30894925b97b83187,10545212273.968832,76
USDT,0x9f4da89774570e27170873befd139a79cb1a3da2,10484103202.122423,77
USDT,0x7efaef62fddcca950418312c6c91aef321375a00,10382538828.962852,78
USDT,0xf06b404e9c8ab8ae3e660e2e0af8c053363538b5,10333000000.152653,79
USDT,0x01625c940b20d7ffa33852319b43a19bfbd6441f,10052591339.198664,80
USDT,0x09f9f34d0e6d2bbf7540bdca994d8f5a4a10595f,9649798778.866175,81
USDT,0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e,9591401585.597845,82
USDT,0xd2b37ade14708bf18904047b1e31f8166d39612b,9402728688.005753,83
USDT,0x9485ff32b6b4444c21d5abe4d9a2283d127075a2,9331433768.45585,84
USDT,0x5b4822d9744cd8b5c4faaee6f13797bd7fdc05dd,9050832616.428614,85
USDT,0x4eb362934d56f2669a712cb92d316cd465921b5d,8960862022.578968,86
USDT,0x3aaae57923c93fdeb333f947ace4a09b2e80170b,8888512135.480629,87
USDT,0xcd8d805a0735d59539abd348e1c9a68eec75737f,8519453312.038708,88
USDT,0xb34fda4acb32e0dfb6750cab3102f9ec938f1af1,8356521330.822605,89
USDT,0x099bcb99d375027295a713fce771545fa2793c98,8274047203.949933,90
USDT,0xa5aa69f4a9f403ea32611b4da4da3f5afa985a0c,8256009799.702086,91
USDT,0x81c7294b66955824bc04acb642ae8dc58e6ce507,8097095631.721897,92
USDT,0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,8047061308.98242,93
USDT,0x1b9a1120a17617d8ec4dc80b921a9a1c50caef7d,8013090203.431498,94
USDT,0x0000a1e0777c5f0e1e5c7cf3ca427801d143fe3e,7978806148.700399,95
USDT,0xda28eb7aba389c1ea226a420bce04cb565aafb85,7946837792.369617,96
USDT,0xb42f3b5cb3c2b7c2e093d4e61ef5eda59a0a83b7,7805686168.515027,97
USDT,0x63b30de1a998e9e64fd58a21f68d323b9bcd8f85,7797041187.173067,98
USDT,0xd7af60112d7dfe0f914724e3407dd54424aaa19b,7794605841.067936,99
USDT,0x0fb881c078434b1c0e4d0b64d8c64d12078b7ce2,7599625869.374111,100
USDC,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,311924777495.54443,1
USDC,0xed77ce44fefe9d90b61e23c36250e9a7ad440a07,180270691755.13138,2
USDC,0x95d3ee15b902711cc0ed39271cb5480fced80192,90544507175.03143,3
USDC,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,71104500874.69774,4
USDC,0xb300000b72deaeb607a12d5f54773d1c19c7028d,39256761027.70218,5
USDC,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,28698320043.233223,6
USDC,0x026c52e1832152b0a78c735481acad5e91616288,13992514317.70098,7
USDC,0x92b7807bf19b7dddf89b706143896d05228f3121,12737384392.169209,8
USDC,0xf2688fb5b81049dfb7703ada5e770543770612c4,12357723782.72614,9
USDC,0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,11458049759.598701,10
USDC,0xf89d7b9c864f589bbf53a82105107622b35eaa40,11214717083.317202,11
USDC,0x238a358808379702088667322f80ac48bad5e6c4,11052715244.24282,12
USDC,0x9f4da89774570e27170873befd139a79cb1a3da2,10564596206.019653,13
USDC,0x28e2ea090877bf75740558f6bfb36a5ffee9e9df,10285937255.492868,14
USDC,0xde9e4fe32b049f821c7f3e9802381aa470ffca73,9205930309.927738,15
USDC,0x1b9a1120a17617d8ec4dc80b921a9a1c50caef7d,8460108216.407461,16
USDC,0x08a10ae012df633abbf710ef8bd3a9745a9e5816,8393841877.083281,17
USDC,0x6aba0315493b7e6989041c91181337b662fb1b90,7409760389.393891,18
USDC,0xca852767b43a395ac1dd54737193eba5e20c78bd,7359400828.286496,19
USDC,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,7294085338.063502,20
USDC,0x318d2aae4c99c2e74f7b5949fa1c34df837789b8,6405107908.878372,21
USDC,0x454b96f8eaa008bce87166fc9df12f5fedf8c70a,5890888580.850721,22
USDC,0x66244e23a71c8face58cba47edc06744ab98f67a,5381139818.0,23
USDC,0x31b9ba7f7982948b34cb9c967a0cfc17d4094c0a,5226181619.195002,24
USDC,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,5183945934.829481,25
USDC,0xf977814e90da44bfa03b6295a0616a897441acec,5145185906.792209,26
USDC,0x160caed03795365f3a589f10c379ffa7d75d4e76,4883685414.91447,27
