size_bucket,transfer_count,bucket_volume
<0.01,1544558,1816.250436140175514472000000000000000000
0.01-0.1,370634,12041.42516806846012297000
0.1-1,516754,245465.20479845572640560600
1-10,1658557,7089662.54344183909281222100
10-100,3763193,164855868.4074699859894070
100-1000,6734651,2757341955.9764032943924961
1000-10000,7342836,27020581893.0929588781669426
10000-100000,4829830,164756231106.7513450187841468
100000-1000000,1622486,459670072810.756882526210
1000000-10000000,274013,679408772812.616530706118
>=10000000,56614,5556523312626.803213497856
