size_bucket,transfer_count,bucket_volume
<0.01,275717,371.924271821772780153000000000000000000
0.01-0.1,103433,5139.05948720532825671900
0.1-1,258971,119479.83875769073051511300
1-10,729160,3246310.28188441851848478700
10-100,1595753,69928701.6468795652104346
100-1000,2981763,1274647609.3652061343960549
1000-10000,3600171,13614089174.1699671551141089
10000-100000,2396944,84442695840.4286888304114108
100000-1000000,909810,266410670116.682418270311
1000000-10000000,175412,433438536375.299735382551
>=10000000,49769,5402795499284.617508202089
