size_bucket,transfer_count,bucket_volume
<0.01,19957164,21037.203808000000000000000000
0.01-0.1,3132249,83637.45514500000000000000
0.1-1,2443886,1016097.39250900000000000000
1-10,4363705,18763786.15979600000000000000
10-100,9114087,390566227.5733240000000000
100-1000,12291251,4804834110.1281140000000000
1000-10000,9866738,34056159778.2685210000000000
10000-100000,4531279,146286657735.1503450000000000
100000-1000000,1732045,517172699592.766554000000
1000000-10000000,393573,1120011081057.619832000000
>=10000000,60624,1548793900106.222830000000
