size_bucket,transfer_count,bucket_volume
<0.01,198,0.287434000000000000000000
0.01-0.1,85,5.40258100000000000000
0.1-1,278,179.77100500000000000000
1-10,992,4354.45936000000000000000
10-100,23027,556313.6348680000000000
100-1000,8018,4199316.5302270000000000
1000-10000,34987,184514327.2135070000000000
10000-100000,25013,908019455.5805910000000000
100000-1000000,5805,1348257425.079667000000
1000000-10000000,136,434489943.032066000000
>=10000000,46,2832712071.904509000000
