size_bucket,transfer_count,bucket_volume
<0.01,451506,1161.3025616000000000000000000000
0.01-0.1,416311,17064.80976286000000000000
0.1-1,615487,247125.72680132000000000000
1-10,460618,1331285.83846793000000000000
10-100,79415,2044229.4321497000000000
100-1000,10956,2935256.6839756500000000
1000-10000,557,884196.0090010500000000
10000-100000,9,144014.6080163700000000
