size_bucket,transfer_count,bucket_volume
<0.01,2709,3.845165209901557400000000000000000000
0.01-0.1,222,8.78773239450374966900
0.1-1,520,223.35268937300018734000
1-10,2628,13220.97634955802580010100
10-100,3325,163092.3599288205974173
100-1000,4759,1740225.3050628125397551
1000-10000,5962,23863990.0994359783724827
10000-100000,4653,165766255.1840732229110537
100000-1000000,2378,669618849.527240159586
1000000-10000000,767,1685826950.791837638467
>=10000000,279,17649193591.605594877034
