size_bucket,transfer_count,bucket_volume
<0.01,28269,47.660013000000000000000000
0.01-0.1,12243,421.63348500000000000000
0.1-1,18295,8684.25604400000000000000
1-10,56080,239458.17893300000000000000
10-100,109379,4847649.0821590000000000
100-1000,165203,70978886.5532220000000000
1000-10000,199863,790585476.5732600000000000
10000-100000,156218,5314982322.8069450000000000
100000-1000000,37750,9723301562.766353000000
1000000-10000000,3539,8472518585.400114000000
>=10000000,34,547016617.501487000000
