size_bucket,transfer_count,bucket_volume
<0.01,1376,1.768224000000000000000000
0.01-0.1,239,9.58822200000000000000
0.1-1,763,393.16096200000000000000
1-10,5294,25686.26598900000000000000
10-100,13873,604508.1607960000000000
100-1000,20150,8447260.7941100000000000
1000-10000,28103,114669832.2325210000000000
10000-100000,23324,796792450.3071980000000000
100000-1000000,5867,1490141937.862610000000
1000000-10000000,798,1898975332.287329000000
>=10000000,7,72787289.935978000000
