size_bucket,transfer_count,bucket_volume
<0.01,9121,19.566619377932491155000000000000000000
0.01-0.1,8881,387.75265050306170955400
0.1-1,26976,11173.52730852297688794000
1-10,60152,285861.75085241437182992600
10-100,328597,14865912.4048598376209590
100-1000,345297,152466970.2501505767570532
1000-10000,283016,826901875.0107026289411584
10000-100000,73581,2720640857.8269726363314966
100000-1000000,40036,9974857670.134247374362
1000000-10000000,5338,18506905284.066071717597
>=10000000,1190,27352008776.808761253458
