size_bucket,transfer_count,bucket_volume
<0.01,44435,77.889641000000000000000000
0.01-0.1,5459,160.16018700000000000000
0.1-1,9755,4576.94233900000000000000
1-10,78986,428735.05078100000000000000
10-100,970876,40465713.4381570000000000
100-1000,635494,197786428.3261730000000000
1000-10000,165735,463914185.3297420000000000
10000-100000,18842,554358041.0585670000000000
100000-1000000,12109,4764832201.442238000000
1000000-10000000,5679,19781085922.984760000000
>=10000000,1362,42256131533.135374000000
