month,newly_adopted_addresses
2024-09-01,739
2024-10-01,534
2024-11-01,734
2024-12-01,791
2025-01-01,705
2025-02-01,2192
2025-03-01,1209
2025-04-01,704
2025-05-01,2423
2025-06-01,3283
2025-07-01,2248
2025-08-01,1498
2025-09-01,930
2025-10-01,1164
2025-11-01,858
2025-12-01,666
2026-01-01,968
2026-02-01,816
2026-03-01,1463
2026-04-01,1498
2026-05-01,1161
2026-06-01,1619
