size_bucket,transfer_count,bucket_volume
<0.01,1697544,2247.320858000000000000000000
0.01-0.1,164154,4963.85245100000000000000
0.1-1,231175,101638.63628700000000000000
1-10,1588906,8023200.51998300000000000000
10-100,6219759,279386182.6245010000000000
100-1000,12008584,4640503586.4995420000000000
1000-10000,9455834,30552616902.0103270000000000
10000-100000,3688676,113909788508.9752780000000000
100000-1000000,1203096,347110022888.518863000000
1000000-10000000,232189,570379328902.366997000000
>=10000000,15344,385196581768.816065000000
