month,newly_adopted_addresses
2024-08-01,3
2024-09-01,4
2024-10-01,11
2024-11-01,2
2024-12-01,28
2025-01-01,63
2025-02-01,87
2025-03-01,68
2025-04-01,124
2025-05-01,123
2025-06-01,147
2025-07-01,195
2025-08-01,204
2025-09-01,290
2025-10-01,265
2025-11-01,230
2025-12-01,317
2026-01-01,305
2026-02-01,215
2026-03-01,223
2026-04-01,333
2026-05-01,292
2026-06-01,366
