size_bucket,transfer_count,bucket_volume
<0.01,7,0.0020410000000000003
0.01-0.1,3,0.03
0.1-1,5,0.9
1-10,12,33.130168
10-100,33,1653.5191199999995
100-1000,73,27630.138558
1000-10000,419,1958391.0636609998
10000-100000,185,8564614.270575006
100000-1000000,53,14238604.485459004
1000000-10000000,8,39548452.3574
>=10000000,15,295921238.62139
