size_bucket,transfer_count,bucket_volume
<0.01,507728876,1137343.836506561112366539000000000000000000
0.01-0.1,489851365,19868369.82013881511051790300
0.1-1,412214138,130767053.28371028764821339300
1-10,150851804,437044065.60679595185039481400
10-100,42832726,1430355238.1175795077494490
100-1000,6606862,1748319792.9514001734138224
1000-10000,741053,1745071282.0558028367495169
10000-100000,55286,1102914197.7834299539973472
100000-1000000,1120,213159869.232200447025
1000000-10000000,6,9490144.562837139507
