month,newly_adopted_addresses
2023-11-01,12
2023-12-01,118
2024-01-01,193
2024-02-01,21902
2024-03-01,11864
2024-04-01,10113
2024-05-01,3592
2024-06-01,3012
2024-07-01,1868
2024-08-01,1938
2024-09-01,870
2024-10-01,976
2024-11-01,1285
2024-12-01,3931
2025-01-01,4498
2025-02-01,12893
2025-03-01,6612
2025-04-01,3055
2025-05-01,2670
2025-06-01,1669
2025-07-01,3321
2025-08-01,5155
2025-09-01,5682
2025-10-01,4463
2025-11-01,1778
2025-12-01,2002
2026-01-01,3581
2026-02-01,1991
2026-03-01,2266
2026-04-01,1872
2026-05-01,1282
2026-06-01,1074
