size_bucket,transfer_count,bucket_volume
<0.01,4400,7.160522436543208635000000000000000000
0.01-0.1,3633,163.09667412403254480100
0.1-1,10024,4552.13945149666843920700
1-10,32301,149747.17016391945209946300
10-100,122312,5852285.3482472620511930
100-1000,299512,127042833.2541316630813967
1000-10000,493319,2108400590.0956417376790698
10000-100000,482114,14965832336.2478824599635444
100000-1000000,98576,24979802514.755160509894
1000000-10000000,8493,19098033034.960739036573
>=10000000,574,15056511982.693437734261
