size_bucket,transfer_count,bucket_volume
<0.01,8100,12.907181000000000000000000
0.01-0.1,5005,211.49463300000000000000
0.1-1,10439,5095.20679100000000000000
1-10,29403,131646.84809800000000000000
10-100,65301,3013631.7864920000000000
100-1000,101047,43712400.3631080000000000
1000-10000,114435,438642952.6092080000000000
10000-100000,84072,2663500242.3965190000000000
100000-1000000,14055,3578127550.405671000000
1000000-10000000,548,879514288.015797000000
