size_bucket,transfer_count,bucket_volume
<0.01,1108,2.312724321138811901000000000000000000
0.01-0.1,2564,138.01468621049231052700
0.1-1,1250,528.39901109398513189900
1-10,4499,19313.84651116492781974300
10-100,12732,570636.4592197315328691
100-1000,23175,8921820.4185422476591379
1000-10000,27051,103890804.5135439377150438
10000-100000,29784,1111937914.8305211970011449
100000-1000000,24870,7939082446.186087394491
1000000-10000000,8624,23627368541.988346769171
>=10000000,1628,50760655970.025859741282
