size_bucket,transfer_count,bucket_volume
<0.01,25577,44.962273829788657920000000000000000000
0.01-0.1,10207,351.49654598228419850400
0.1-1,11867,5236.49820353538369883700
1-10,27782,116806.92809486419353909900
10-100,57757,2576602.1784969919684188
100-1000,122392,50609691.0445025549047772
1000-10000,119093,430503018.6085310974708142
10000-100000,95104,3619211677.7483686113932879
100000-1000000,74760,25652144920.916254339879
1000000-10000000,16707,38821828624.449076637744
>=10000000,634,11927723454.737656181592
