size_bucket,transfer_count,bucket_volume
<0.01,83,0.162456000000000000000000
0.01-0.1,34,1.84984600000000000000
0.1-1,62,32.32328200000000000000
1-10,316,1334.82380700000000000000
10-100,10896,235841.9313040000000000
100-1000,2338,1299193.4442500000000000
1000-10000,7589,45053693.9534380000000000
10000-100000,9256,341760313.2646110000000000
100000-1000000,2084,483261556.479423000000
1000000-10000000,39,81625805.886072000000
>=10000000,5,95275939.445412000000
