month,newly_adopted_addresses
2022-05-01,5
2022-06-01,69
2022-07-01,304
2022-08-01,1375
2022-09-01,415
2022-10-01,447
2022-11-01,408
2022-12-01,225
2023-01-01,204
2023-02-01,213
2023-03-01,891
2023-04-01,397
2023-05-01,280
2023-06-01,282
2023-07-01,305
2023-08-01,299
2023-09-01,330
2023-10-01,361
2023-11-01,338
2023-12-01,359
2024-01-01,394
2024-02-01,336
2024-03-01,406
2024-04-01,398
2024-05-01,446
2024-06-01,432
2024-07-01,451
2024-08-01,450
2024-09-01,494
2024-10-01,600
2024-11-01,758
2024-12-01,853
2025-01-01,1068
2025-02-01,902
2025-03-01,1165
2025-04-01,1702
2025-05-01,1474
2025-06-01,1396
2025-07-01,2124
2025-08-01,2515
2025-09-01,2348
2025-10-01,3043
2025-11-01,2747
2025-12-01,3462
2026-01-01,5656
2026-02-01,7199
2026-03-01,5050
2026-04-01,4052
2026-05-01,4317
2026-06-01,4843
