size_bucket,transfer_count,bucket_volume
<0.01,10097929,10250.399326000000000000000000
0.01-0.1,1026582,49228.24370000000000000000
0.1-1,2446828,1118951.94405700000000000000
1-10,6764476,32196661.06181400000000000000
10-100,16639874,738411599.1052810000000000
100-1000,28822809,11892216273.0132070000000000
1000-10000,26559417,93971869743.9501040000000000
10000-100000,13121824,444399787655.1234580000000000
100000-1000000,4895516,1388945332631.158635000000
1000000-10000000,801796,2069306562967.162861000000
>=10000000,187722,12755962596909.379483000000
