size_bucket,transfer_count,bucket_volume
<0.01,1,1.00000000000000000E-15
0.01-0.1,1,0.02500000000000000000
0.1-1,2,0.60000000000000000000
1-10,9,27.98764676000000000000
10-100,159,7141.8307066363339888
100-1000,516,246460.7054222064384947
1000-10000,1056,4267572.7933501811472117
10000-100000,624,18927380.4661220948320000
100000-1000000,370,126437605.119992892712
1000000-10000000,94,172691679.239128556169
