size_bucket,transfer_count,bucket_volume
<0.01,6508453,15821.693130732521790750000000000000000000
0.01-0.1,6563906,273446.90835104601952717200
0.1-1,10594142,4938964.57756830427368884700
1-10,26179230,126884308.42580059140578699800
10-100,74055935,3310836628.5376241242666137
100-1000,68892369,22222729673.4137643888762484
1000-10000,18522099,49826549266.1769496571225408
10000-100000,2778930,63646613313.8450844768352978
100000-1000000,90806,21522584507.508847156875
1000000-10000000,10375,30879773621.722566625569
>=10000000,883,34379794336.388047546269
