size_bucket,transfer_count,bucket_volume
<0.01,712385,1500.651795098294371031000000000000000000
0.01-0.1,567819,24606.54841931217479342400
0.1-1,1034490,475089.55541836733991271900
1-10,2198974,9847435.16256646434509872600
10-100,3160566,128111749.7603495392925900
100-1000,2702114,912289738.1811067677030137
1000-10000,1087041,3419477011.0571368868085269
10000-100000,323544,9684775563.3554169824349413
100000-1000000,69736,20559639470.861265229155
1000000-10000000,36883,124908286252.844852290528
>=10000000,2662,37840878311.537875432264
