month,newly_adopted_addresses
2024-03-01,7
2024-04-01,18
2024-05-01,9
2024-06-01,11
2024-07-01,5
2024-09-01,3
2025-02-01,7
2025-03-01,8
2025-04-01,296
2025-05-01,469
2025-06-01,611
2025-07-01,332
2025-08-01,259
2025-09-01,940
2025-10-01,2095
2025-11-01,466
2025-12-01,1112
2026-01-01,731
2026-02-01,474
2026-03-01,430
2026-04-01,256
2026-05-01,308
2026-06-01,357
2026-07-01,465
2026-08-01,242
