size_bucket,transfer_count,bucket_volume
<0.01,39099959,36377.625593667969446805000000000000000000
0.01-0.1,15234527,646703.53862315895361081800
0.1-1,29946120,13050326.97602153824637012000
1-10,73029722,342657525.06257855335088562500
10-100,189036708,8604734521.7688492463497316
100-1000,253173228,88837191658.0349977194806327
1000-10000,93076545,193042937973.6853731653121679
10000-100000,6282429,171812082418.8184883158607966
100000-1000000,963653,273768457593.326579235291
1000000-10000000,186973,483452031361.512441505281
>=10000000,17365,329788364975.050024176413
