month,newly_adopted_addresses
2020-09-01,4749
2020-10-01,7096
2020-11-01,7829
2020-12-01,12506
2021-01-01,31718
2021-02-01,70607
2021-03-01,99729
2021-04-01,189071
2021-05-01,351278
2021-06-01,140724
2021-07-01,154980
2021-08-01,193470
2021-09-01,162329
2021-10-01,269681
2021-11-01,316462
2021-12-01,221411
2022-01-01,184315
2022-02-01,133704
2022-03-01,123085
2022-04-01,119561
2022-05-01,85749
2022-06-01,88074
2022-07-01,70755
2022-08-01,74973
2022-09-01,67728
2022-10-01,65915
2022-11-01,79180
2022-12-01,77138
2023-01-01,79568
2023-02-01,81967
2023-03-01,133482
2023-04-01,139721
2023-05-01,248118
2023-06-01,192527
2023-07-01,183993
2023-08-01,129250
2023-09-01,85533
2023-10-01,79241
2023-11-01,106569
2023-12-01,151303
2024-01-01,161152
2024-02-01,172152
2024-03-01,227128
2024-04-01,184901
2024-05-01,190295
2024-06-01,138538
2024-07-01,119009
2024-08-01,80844
2024-09-01,99797
2024-10-01,99915
2024-11-01,122778
2024-12-01,147981
2025-01-01,159143
2025-02-01,99584
2025-03-01,80537
2025-04-01,62406
2025-05-01,86262
2025-06-01,94942
2025-07-01,101164
2025-08-01,93389
2025-09-01,81503
2025-10-01,83071
2025-11-01,52471
2025-12-01,44327
2026-01-01,42868
2026-02-01,58716
2026-03-01,58974
2026-04-01,51504
2026-05-01,62516
2026-06-01,115995
2026-07-01,74247
2026-08-01,32331
