size_bucket,transfer_count,bucket_volume
<0.01,4347,8.080511794722215805000000000000000000
0.01-0.1,4150,175.94772952199338736800
0.1-1,11009,5320.46381438744963738500
1-10,17899,77031.44234354400700552400
10-100,25395,1107361.0952659766995828
100-1000,27351,9550428.7342362384602399
1000-10000,16488,45821037.3719658750641679
10000-100000,5710,203501619.8852426727981648
100000-1000000,4322,1656159032.017889133776
1000000-10000000,1248,2360609342.742991756297
>=10000000,32,1504405101.781038830000
