month,newly_adopted_addresses
2025-03-01,18
2025-04-01,2770
2025-05-01,74010
2025-06-01,2585137
2025-07-01,1315877
2025-08-01,729941
2025-09-01,449460
2025-10-01,440477
2025-11-01,184195
2025-12-01,137654
2026-01-01,402666
2026-02-01,107272
2026-03-01,84174
2026-04-01,34420
2026-05-01,38745
2026-06-01,52757
2026-07-01,42795
2026-08-01,17492
