symbol,token_volume,token_volume_pre_mean,token_volume_post_mean,token_volume_pre_months,token_volume_post_months,transfer_count,transfer_count_pre_mean,transfer_count_post_mean,transfer_count_pre_months,transfer_count_post_months,active_addresses,active_addresses_pre_mean,active_addresses_post_mean,active_addresses_pre_months,active_addresses_post_months,newly_adopted_addresses,newly_adopted_addresses_pre_mean,newly_adopted_addresses_post_mean,newly_adopted_addresses_pre_months,newly_adopted_addresses_post_months,average_transfer_size,average_transfer_size_pre_mean,average_transfer_size_post_mean,average_transfer_size_pre_months,average_transfer_size_post_months,volume_per_active_address,volume_per_active_address_pre_mean,volume_per_active_address_post_mean,volume_per_active_address_pre_months,volume_per_active_address_post_months,transfers_per_active_address,transfers_per_active_address_pre_mean,transfers_per_active_address_post_mean,transfers_per_active_address_pre_months,transfers_per_active_address_post_months
USDT,111.31024254880853,500121669859.09393,1056808313618.4027,6,6,99.50705195034529,156637364.5,312502588.1666667,6,6,44.47582048750489,14940096.5,21584827.0,6,5,38.12661543577058,8988738.166666666,12415839.8,6,5,-26.443906049995803,4562.6796180952815,3356.128906523858,6,6,53.2048678583801,32982.503780992025,50530.80133405405,6,5,50.33065163811086,9.708441595842986,14.59476351493617,6,5
USDC,150.22479795292458,560267049704.9789,1401927093121.095,6,6,124.17962807052842,23727464.5,53192141.666666664,6,6,81.63869135811443,1696664.8333333333,3081799.8,6,5,78.22951053681038,1008788.8333333334,1797959.4,6,5,-31.641817857994536,40386.72617065861,27607.6318369318,6,6,32.03960049143362,334167.82221958507,441233.85742966423,6,5,38.87265146897485,12.707433578099057,17.647149943564983,6,5
DAI,-65.4750563065169,184514576831.81046,63703553757.45114,6,6,59.12564216762646,386192.0,614530.5,6,6,87.05935781205324,49544.166666666664,92677.0,6,5,133.84803453413303,26177.0,61214.4,6,5,-77.75726133661824,473660.3416079441,105355.03193593626,6,6,-80.44979102277506,3699880.765233299,723334.4215112596,6,5,-14.607340193149799,7.766758411094313,6.632241588005691,6,5
USDE,145.86227441089608,15683813810.975922,38560581350.03564,6,6,110.81445204475729,105770.5,222979.5,6,6,32.3223662833964,15901.166666666666,21040.8,6,5,25.487997196425425,7609.333333333333,9548.8,6,5,-0.13715846357125194,160689.643871696,160469.24442504346,6,6,63.96058245142346,1204551.0143423898,1974988.8590403118,6,5,55.63282789860662,6.896045338533387,10.73251037352955,6,5
USD1,13.43020137014943,15515234179.408058,17598961372.75281,4,6,103.28318554557123,7103852.75,14440938.166666666,4,6,-32.31221603086155,699900.0,473746.8,4,5,-42.74399121470419,693203.75,396900.8,4,5,-99.70486773759482,451699.7387917665,1333.1116583743976,4,6,-97.94673797260752,2048522.6915000095,42061.538547087956,4,5,21.88578846870999,26.578876599910092,32.395873309925875,4,5
