month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2019-11-01,DAI,1108439134.853176,65026.0,6457,6457,1108439134.1792872,17046.091320076386,171664.72585615242,10.07062103143875
2019-12-01,DAI,795709648.9082234,155660.0,22943,19737,795709647.1672695,5111.8440650601915,34682.022791623735,6.7846401952665305
2020-01-01,DAI,1455899478.0368948,276353.0,38470,30289,1455899474.7914362,5268.2600687940285,37845.060515645826,7.183597608526124
2020-02-01,DAI,3605903612.273504,438153.0,51577,36525,3605903607.913126,8229.781852259659,69913.01572936587,8.495123795490239
2020-03-01,DAI,2646707454.327278,453944.0,54808,35455,2646707449.220807,5830.471267867418,48290.53157070643,8.282440519632171
2020-04-01,DAI,1669802318.3997524,311545.0,47325,30808,1669802313.238397,5359.746788548675,35283.72569254627,6.583095615425251
2020-05-01,DAI,1647941311.398428,256938.0,58872,41749,1647941308.2701359,6413.770280262694,27991.93693773658,4.364349775784754
2020-06-01,DAI,2118390541.2834315,310625.0,70943,46450,2118390538.4162116,6819.768332929454,29860.458978101175,4.378515145962251
2020-07-01,DAI,13457907980.959568,534328.0,100475,67180,13457907976.166864,25186.604438035934,133942.8512660818,5.318019407812889
2020-08-01,DAI,12355001851.14551,525521.0,107344,70830,12355001846.548613,23510.005968455327,115097.27466039565,4.8956718586972725
2020-09-01,DAI,25021149995.792984,614113.0,121086,80646,25021149990.415546,40743.56020865141,206639.49586073522,5.071709363592818
2020-10-01,DAI,9384983479.248243,477530.0,122546,73346,9384983474.846085,19653.180899307026,76583.35220446398,3.8967408156936987
2020-11-01,DAI,12489309473.756937,543768.0,121604,71844,12489309468.803406,22968.084677295108,102704.75867370264,4.471629222722937
2020-12-01,DAI,16078082809.827564,805918.0,149992,92364,16078082804.190115,19950.02320855238,107192.93568875383,5.373073230572297
2021-01-01,DAI,37086418528.06861,929718.0,182240,118751,37086418524.82957,39889.96504835828,203503.17453944584,5.101613257243196
2021-02-01,DAI,72852714898.64793,814841.0,181378,126700,72852714894.45013,89407.27687297293,401662.3565076687,4.492501846971518
2021-03-01,DAI,66048667409.5764,839471.0,168614,111351,66048667402.75747,78678.91493900024,391715.2040137616,4.978655390418352
2021-04-01,DAI,173882834214.38797,1137435.0,179179,116627,173882834187.6809,152872.7656417122,970442.0396050205,6.348037437422913
2021-05-01,DAI,96371362774.47034,1974665.0,186107,115262,96371362746.43398,48803.90483774918,517827.71617655613,10.610374676933162
2021-06-01,DAI,59928366697.25491,1059335.0,181712,90966,59928366681.14301,56571.68570956592,329798.6192285315,5.829747072290218
2021-07-01,DAI,48523683263.177635,744283.0,128392,66609,48523683218.04829,65195.205611371326,377933.85306855285,5.79695775437722
2021-08-01,DAI,35908269819.16361,749537.0,129715,70283,35908269706.87671,47907.267695759794,276824.34428681043,5.778337123694253
2021-09-01,DAI,38829734216.798004,618215.0,121544,65929,38829734191.24471,62809.43392063394,319470.59679456,5.086347331007701
2021-10-01,DAI,57689076187.8928,655804.0,132415,78799,57689076172.37097,87966.94770445282,435668.73985494697,4.952641317071329
2021-11-01,DAI,57492256839.42564,862532.0,157974,101290,57492256826.95681,66655.21606961459,363934.931314176,5.459961765860204
2021-12-01,DAI,233516391518.41568,702485.0,141297,75471,233516391509.44473,332414.7725708659,1652663.478477361,4.971690835615759
2022-01-01,DAI,53786271931.820564,524111.0,103719,51729,53786271925.19,102623.81809423958,518576.8464005685,5.053182155632045
2022-02-01,DAI,37876806402.47589,390172.0,90825,45426,37876806395.47616,97077.20286303517,417030.62375420745,4.295865675750068
2022-03-01,DAI,38868484649.057686,458391.0,114103,61542,38868484644.00422,84793.29795742984,340643.84502649086,4.017343978685924
2022-04-01,DAI,35004275908.034615,372408.0,98517,50751,35004275904.28797,93994.4252118321,355312.0365828701,3.780139468315113
2022-05-01,DAI,76530185467.81741,512707.0,120545,54348,76530185464.15425,149266.9018838328,634868.1858875724,4.253241528060061
2022-06-01,DAI,101307746804.9028,444172.0,103798,41813,101307746802.26006,228082.24472109915,976008.6591736141,4.279196130946646
2022-07-01,DAI,147402602049.70038,359708.0,86416,37203,147402602045.55383,409784.05274709995,1705732.7583977547,4.162516200703573
2022-08-01,DAI,241373552991.0025,389516.0,83839,36077,241373552984.68936,619675.5793977381,2879012.786304733,4.646000071565739
2022-09-01,DAI,193768743066.32104,443140.0,95011,37425,193768743060.61145,437263.0389055636,2039434.8345593777,4.66409152624433
