chain,symbol,token_volume,token_volume_pre_mean,token_volume_post_mean,token_volume_pre_months,token_volume_post_months,transfer_count,transfer_count_pre_mean,transfer_count_post_mean,transfer_count_pre_months,transfer_count_post_months,active_addresses,active_addresses_pre_mean,active_addresses_post_mean,active_addresses_pre_months,active_addresses_post_months,newly_adopted_addresses,newly_adopted_addresses_pre_mean,newly_adopted_addresses_post_mean,newly_adopted_addresses_pre_months,newly_adopted_addresses_post_months,average_transfer_size,average_transfer_size_pre_mean,average_transfer_size_post_mean,average_transfer_size_pre_months,average_transfer_size_post_months,volume_per_active_address,volume_per_active_address_pre_mean,volume_per_active_address_post_mean,volume_per_active_address_pre_months,volume_per_active_address_post_months,transfers_per_active_address,transfers_per_active_address_pre_mean,transfers_per_active_address_post_mean,transfers_per_active_address_pre_months,transfers_per_active_address_post_months
Ethereum,USDT,141.78852158348022,280422800789.0604,678030144210.857,6,6,68.82121100759598,6812368.5,11500723.0,6,6,60.12863852833821,1728875.5,2768424.8,6,5,72.31719270232135,981983.5,1692126.4,6,5,43.88687856177722,41606.770986014635,59866.68404212364,6,6,58.79727826638861,164223.44529768382,260782.36140801347,6,5,1.936380480726152,3.94482279092044,4.0212095694430605,6,5
BSC,USDT,72.40788312242157,219698869070.03354,378778169407.5454,6,6,100.90230148690722,149824996.0,301001865.1666667,6,6,42.42742741189478,13211221.0,18816402.2,6,5,33.93333312240032,8006754.666666667,10723713.4,6,5,-22.35813061276567,1600.6844620003824,1242.8013392880914,6,6,31.46338329029279,15480.521251648059,20351.21698838932,6,5,54.646835353807674,10.43013605870194,16.129875337878914,6,5
Ethereum,USDC,156.87764889673628,533062736200.288,1369319023895.9114,6,6,81.53288692837349,5686864.333333333,10323529.0,6,6,89.37682338987494,1030018.3333333334,1950616.0,6,5,95.99017085786605,581536.0,1139753.4,6,5,39.47029412578718,94639.4193281909,131993.8764959649,6,6,31.560193855233432,522412.7891727053,687287.2781601431,6,5,-4.293448090231545,5.521924848300919,5.284843871357522,6,5
BSC,USDC,19.863598908904102,27204313504.6909,32608069225.183533,6,6,137.6229852146179,18040600.166666668,42868612.666666664,6,6,69.6827029017628,666646.5,1131183.8,6,5,54.05538562841596,427252.8333333333,658206.0,6,5,-67.97498087003903,2435.510643770464,779.9727495797264,6,6,-21.64472426001085,37416.39708084183,29317.721104662865,6,5,66.90206912048336,22.891886122865188,38.20703159976679,6,5
Ethereum,DAI,-65.52420240087504,184461910855.8467,63594715034.14002,6,6,60.0951798500664,289417.0,463342.6666666667,6,6,78.45863672607022,41177.833333333336,73485.4,6,5,125.53105661242263,21815.0,49199.6,6,5,-77.61469400453726,632043.4950148588,141484.8703834935,6,6,-79.39276455696628,4451589.401803789,917349.508986843,6,5,-11.10366715335216,6.970961370048863,6.196929022129879,6,5
BSC,DAI,106.658514001737,52665975.96370997,108838723.31111501,6,6,56.22612589339535,96775.0,151187.83333333334,6,6,129.39081238296342,8366.333333333334,19191.6,6,5,175.44245758826227,4362.0,12014.8,6,5,35.63984782985512,540.8287216434254,733.5792550572929,6,6,-6.753567374748382,6435.467203354606,6000.843589896217,6,5,-30.97309780249925,11.923635768047468,8.230516399996343,6,5
Ethereum,USDE,141.5569868530444,15633633796.981544,37764134735.627815,6,6,113.43490191394214,101857.83333333333,217400.16666666666,6,6,26.512143633921138,15632.333333333334,19776.8,6,5,16.223652998983383,7377.5,8574.4,6,5,-8.103554899871469,175298.58529792613,161093.16819961066,6,6,62.28684152175927,1258461.238724559,2042316.9961016937,6,5,64.96105088627799,6.7324436557358505,11.10590980482841,6,5
BSC,USDE,1222.6491169987903,60216016.7932534,796446614.4078094,5,6,18.83057874708922,4695.2,5579.333333333333,5,6,291.8164910105393,322.6,1264.0,5,5,250.25161754133717,278.2,974.4,5,5,1249.057914525395,11762.204563625677,158678.9515882594,4,6,740.7939096293708,106117.74419058612,892231.5301905235,5,5,-41.4551579390246,7.897894819545027,4.623810048244595,5,5
Ethereum,USD1,3311.9486138564475,142590133.7034366,4865102090.390461,4,6,81.36741146525985,56771.5,102965.0,4,6,-42.10008554319932,28056.0,16244.4,4,5,-69.13636363636364,27720.0,8555.4,4,5,-14.388579345429608,76180.03410031162,65218.80944841295,4,6,8.532262843531967,275257.42497566895,298743.1119709308,4,5,24.247892936175464,6.007658377611724,7.4643889489861905,4,5
BSC,USD1,-17.16545804024905,15372644045.70462,12733859282.36235,4,6,103.45973968537207,7047081.25,14337973.166666666,4,6,-31.903477593012664,671844.0,457502.4,4,5,-41.64464571824631,665483.75,388345.4,4,5,-99.87860560329432,828050.7508841773,1005.2072134527672,4,6,-99.08942053465823,3442181.2850066293,31343.795941107535,4,5,17.152592249748277,28.673549855959244,33.591806946280215,4,5
